Tweets,Label
"We are inspired. Thank you. More Atetalks to come. It's my first time to hear this, mostly lulubog- lilitaw ako dahil dami ng activities na kaylangan gawin sa onlineclass. @DBubblyAtes   #AteTalks",Positive
Ang hirap din pala ng Online Class Jusko!,Negative
@rebirth071515 Lol samin alam na kapag tutok sa monitor tapos nakaearphones matik may online class yan hahaha.,Neutral
"wala naman talagang kwenta yung online class ngayon, gusto lang talaga natin na wag masayang yung taon.",Negative
"Hindi B, walang matutulog sa pamilyang ito hahaha, Sunday nmn bukas walang pasok sa trabaho at online class. Hehehe  MAPABandVer Trailer @SB19Official  #SBEN19MAPATeaser",Neutral
My experience calling and reaching out my students who didn’t attend online class was quite tough.   Teacher said didn’t attend any class at all. Parents said their child said attend or parents didn’t know that. Students said i attend teacher.  Me : 😓😓,Negative
"gusto ko nalang talaga magretire si mama sa pagtuturo, ang hirap niyang turuan for online class huhuhuhu tas andami nilang ginagawa, ayaw ko na syang napapagod ng ganon",Negative
@caencae Oh I see a DATA USER me thinks.. Hope your not using a WiFi for your online class or someone on your fam to do their job online to make fun of it.,Neutral
Here I was excited to be able to go to campus again next semester but bunch of dumbass had to ruin it and I'm probably stuck with online class again...  Sure love my college experience,Negative
nawh......... the amounts of lects gonna use this for online class...,Negative
@Artsssbyanaaaa Yassss habis la i lupa nak join tadi 😅😂😂😂 Online class buat i lost track of time 😂😂😂😂,Negative
Nag attend lang naman ako ng klase maghapon pero pagod na pagod yung katawan ko. Nakakaubos ng energy ang online class 😔,Negative
one year of online class done 🖤 but more to come since this government too shitty,Neutral
Idiot... We know the current MCO are meant to cut the COVID19 chain but students still struggling with online class... AT LEAST let stationery and IT Mart open! We still need to buy the stationary and repair our gadget. Where's the gov sense?,Negative
Had work and online class and I forgot my lunch 🤣. And Im late but Dior post Nam Joo Hyuk photo?? My God we all well fed this week 😋,Neutral
@basyetes04 @MonMonElecsion HAHAHAHAHAHAHAHAHAHAHAHAH INFAIRNESS NATUTO KANA MAGHILOD NGAYON ONLINE CLASS BASHE,Neutral
online class pala dapat inuuna kala ko kase online sabong 😅😂,Neutral
Parang gusto ko na ulit mag online class kesa mag ml 🤮 hahahahahh mga pakq kayu mmr booster!!!,Positive
Magsearch at magparaphrase lang kasi talaga natututunan ko sa online class.  https://t.co/ymPm0KOFhY,Negative
"*overheard in an MBA online class* Prof: ""I mean the best way to start a family for women is below the age of 25""  EXCUSE ME MA'AM? HAHAHAHHA",Neutral
"sobrang excited talaga ako sa experimental psych, sana next next year ko nalang sya kinuha, panget exp ng online class. umay",Negative
7th day online class of my Dela ❤️❤️❤️ #LetterIi #littlechampions #4yearsold #thankyouLordforalltheblessings  https://t.co/oqzIajPRk2,Positive
@unifi Do you have any issue with your network? Im waiting for an hour for my laptop connecting with Unifi Air modem. It was so frustrating. I got online class rn 😪 Thank you.,Negative
@_xaea12__ Sorry nasanay sa online class. Automatic ambilis kasi ng kamay ko sa kakornihan. Pasensya ka na.,Neutral
LOL as if we dont eat during online class / meetings XD,Negative
"@cryptovenizo I would go for $400 so that I can settle all the bills that we need to pay, buy groceries for my family and I would buy a cellphone that would fit to my child for her online class, because I am just sharing my phone to her when she have classes.. 🍀🍀🍀",Neutral
"Mabalik ko tulog, got a bit tipsy.. lol.. Sipping smirnoff in a straw while the online class in ongoing and the same time taking the online midterm exam in other subject.. hahaha..",Neutral
"@jiims I'm planning to buy phone for online class, pero sana manalo para di na kailangan bumili🙏",Neutral
"Tama ba 'yon? Mamamahiya ka ng estudyante sa online class? Di ka na nga nagtuturo nang maayos, puro mali pa napapansin mo.",Negative
Online class be like.. yes DOC!,Negative
"@jiims @ladycryptonic Hoping to win po for my brother, pang online class 😇🍀🤞  https://t.co/nw4EJqh6cl",Positive
@imaginelovin I attended my online class while preparing omelette,Neutral
"Bat naman ganon, walang mic sa online class pero sa valorant meron? 🤣🤣🤔",Neutral
"Hello~ just helping a friend of mine for this. She needs funds to fix her phone bec she badly needs it for her online class. So if you could, kindly adopt this VICTON 1ST CON DVD.   PLEASE HELP RT 🙏",Neutral
Kung di lang online class eh,Neutral
i really need to concentrate during my online class like this😔,Neutral
I'm so getting used to online class. It will be hard to get used to physical class later :/,Negative
Cancelled online class? Hala nat mag inom na agad!,Neutral
M'sian Student Hilariously Forgets To Turn Off Mic While Yelling At Family In Online Class   Have you experienced something like this before? 😂 Share with us in the comments section!   https://t.co/a0vXLueasJ,Neutral
"..woah.. I haven't post my artworks for a looooonnnggg time. I felt ""drained"", and ""stressed"" during my online class. hoping I could back on track soon.. 😔",Negative
grabe raket this day hagard malala plus online class bugsh patayan na this btw thanks lord for the big blessings for me 🙌❤️🤗,Neutral
Not my online class classmates saying stuff like “we should meet in person”  Me being 14 000km away in a country that if I leave won’t allow me to comeback: ª,Neutral
@itsnotkae Congrats sis laban lng ta sa online class bb and yess LAROOO  🥺,Neutral
Iba't ibang klase ng estudyante sa online class,Neutral
:)) online class sucks! intern? well wish me luck then rip,Neutral
pa'no ulit mag-fangirl? nakalimutan ko na dahil sa online class. 🥲,Neutral
"@jiims @cryptovenizo Done. Thank you so much for the giveaway 😊 still hoping na mapili po, it would be a big help for online class..  https://t.co/y9XtNLenvL",Neutral
@jiims @cryptovenizo Done.. Thank yoy so much for this Giveaway .. HOPING TO WIN 🥺🤞 i really need it po for my online class 🥺 makakatulong po to sa akin .. MANIFESTING ☘️ Godbless po sa inyo 😊  https://t.co/drZd34Hril,Neutral
@jiims @ladyincrypto @ID0N0I @Wizardara Done . Thank you so much for this Giveaway .. HOPING TO WIN 🥺🤞 i really need it for my online class . Godbless po   @alyariego @lyy_exol @Arria59875183 @aerisnt @10zkfps @hunniepatootie @sawadeekaisoo @exopink_stan @3xoplanetyeah @exoosaranghaja @loeycherries @loeydistrict  https://t.co/bgT0oiWDtV,Neutral
Di ako makatulog tas napaisip ako ano tawag sa mga med students na grumaduate sa online class.. AAAAA mga google docs 😭,Neutral
@sunsunkibae @dumblori Grabe pics ko ng koreano😭😭 dagdag mo pa yung pang online class na apps😭,Neutral
Bat ganto yung mga medical field sa tiktok😭😭 side effect naba to ng vaccine or grumaduate kayo ng online class?..emz🤦,Neutral
Hi ched Isang taon napo kaming bobo sa online class ahaha char.,Negative
May online-class pa ako bukas bat gising pa me🥴,Neutral
"Ganda ng mga inorder ko, magagamit ko talaga yun sa Online Class.",Positive
Tatlo agad na order ko sa Lazada para sa Online Class ko.,Positive
@ericsontobias Salamat sa online class mars. Chareng. Sige isusunod ko yang KMA at DBK. Ang dami kong time eh. Hahaha. May ibang charm si Singto. Ang sarap niya sakalin eme joke lang,Positive
Ang hirap naman mag online class ng walang laptop at Internet connection 😆 #OnlineClass,Negative
@renzybenzy @inkamagnaye @Xiaomi kelangan ko po sana ng Redmi 9T pang-online class lang po 🥺 bekenemen 😆,Neutral
Do not blame online class for having no knowledge at all. Assess yourself if you are doing well to sink the lesson in yourself.,Positive
Wether it is online class or not it depends on you how will you apply the lesson to your self and how to master it.,Positive
"@jiims @cryptovenizo Done ate ayuuuu, sana manalo pang online class next sem.  https://t.co/5SWPwnmrxs",Neutral
ayoko na magaral ng online class:(,Negative
Gusto ko magpahinga bukas kasu may online class pa pala,Neutral
"imagine nyo nalang classmate nyo sila sa online class, ANG GULO BHE PERO ANG SAYA 😭",Neutral
Bakit mo ba kasi ko ginawang leader😭 sobrang pasakit amputa online class na lang pabuhat pa,Negative
puchang online class to mahirap na nga masakit pa sa likod.,Negative
"@kwsarchive #3. I can relate with this song. This pandemic, most of the student are very tired on online class. I can relate when Woosung saying ""AND I WANT YOU TO KNOW THAT I'M LAZY~""I want to laid on my bed and cave myself. STREAMING LAZY #Woosung #TheRose  @TheRoseSound @woosungofficial  https://t.co/oPd0XcPo75",Neutral
Biggest challenge in online class  https://t.co/RiM3MTafLZ,Negative
"Feel bad for students who have to go through this,indeed online class is actually far worse altough we at comfort of our own home and damn every month have to buy internet is not cheap. I'm grateful tho to have considerate lecturers.",Positive
Online class is so exhausting. I have zero motivation n have absolutely nothing to look forward to. The only thing that gets me to do my work is the intense anxiety I get at the thought of failing. I don’t know how to keep going. I feel so overwhelmed and exhausted all the time.,Negative
@jiims Andaming pa ipad ga ni ate ayu🤧 makakatulong sa online class,Positive
"College culture shock: Profs expect thst you know certain things that was already been taught in your past years.  This sound like it is a given, but from a non-STEM student taking up a course in Mathematics teaching, in an online class scenario, it is murder.  #MyDayLifeNotes",Negative
This is now the shit I live by for college. I'm gonna reject all leadership positions and act like a pepega so ppl will stop expecting too much from me. I'm so drained with this online class bullshit.,Negative
@nsui I’m a PG student final year my university is planning to conduct exam on July august that too offline after online class. It’s terrible they are making us wait so long to do offline while uni exams are to be over by July or before #NoExamUntilVaccination,Neutral
brb upload my recorded online class on YouTube so that i can save my storages. That's the only way  https://t.co/EEazhEAuRz,Neutral
"hello, natural!  online class",Neutral
@Janetbts457 @Thelazykidinon1 @woogasquadtae @sakkokim @pinkshvts @BLACKPINK Honey go to your online class and ask your prof how to put proper punctuation.🤧,Neutral
@darelMEESTER Shet??? Sa 29 pa mag-convene nga provincial governors. Baka kami na rin susunod. Ayoko na ng online class. Magtatanggalan. Jusko,Negative
Order done !! 😭🎉🎊 I have to use my online class fee too that gonna be paid next month to buy this 😆 MaMa gonna kills me 555555  It’s ok .... loving u forces me to do everything 55555  #NIGHTPERSTUDIO #KDPPE  #PerthTanapon  https://t.co/NLfwoT8KKN,Neutral
Putangina! Nag congrats ka na para sa moving up namin tas pinag reready mo kami next week para sa online class?🤡🤡🤡,Negative
@Kiko_rocky Hihihi online class main reason ☠️,Neutral
Yung friend mo na kahit may online class ka vc mo parin😂 @potatoshee_  https://t.co/P2M6Slyn8L,Neutral
"@gratiaberry Intel core i7-4th gen 16gb RAM 1tb HDD 256gb SSD Nvidia GeForce GTX 950M  Pwedeng-Pwede pang online class at zoom  Pwedeng pwede din pang Autocad, sketchup, Vray, Lumion. Atbp.  Free MSoffice  https://t.co/PibCyGhE4Q",Neutral
Sinong nasa online class pero nanonood ng live ni Stormii? HAHHAHAHAHAHAHHAHAHHAH,Neutral
LOL online class nga nagpa survive sakin nung nag double job ako while being a full time student eh 🙄,Neutral
Pwede na bang mag na delete ng files at apps for online class ? Hahaha,Neutral
@Syamilaaa_ My English teacher mad at their student because not see his face on online class... But  he ask student to read🤬,Neutral
Some said they had mixed feelings about it (playing PC games on top of online class) like they feel recharged and energised from playing with friends but also they feel drained from being on the computer for too long.,Neutral
"Me and my older students talked about online class fatigue today. They said some days they get really tired just going from classroom to classroom, day in and day out. They said they still enjoy playing games, but even then it feels tiring looking at a screen 😔 #TeachingDiaries",Neutral
@glslbr good education &lt; deadline basically what online class is 😩,Neutral
@seoulwinterph 😭🙏 need po para online class. super hina pa net sa amin.kahirap na rin po makipiso wifi lagi sa kapitbahay,Neutral
@jiims Nangangailangan ako for online class pero may part sa akin na sana mapunta talaga sa nangangailangan ng gadgets lalo na compulsory ngayon for online class. 🥺❤️,Neutral
"sasabihin niya ang dali nalang ng online class, sayang taon... ocakes marites sabihin mong madali pag patay na anak mo🥲👍👍",Negative
nakaall caps pa name ko sa zoom nakakahiya jusq pang online class kasi eon HAHAHA,Neutral
FACT:  ONLINE CLASS IS WAY MORE STRESSFUL THAN THE USUAL CLASS.,Negative
online class for 14 weeks straight should be illegal,Negative
@jiims @ladyincrypto @ID0N0I @Wizardara @kalydotchii @Kalydotchii1 @Nctzenxx127 @pbjerish @luckyjminyoongi @Clded21 @Jamyan_19 @ayden_labidabs   Thank for this Ate AYU ❤️😭 Need talaga siya for online class pero hoping parin and congrats I'm advance sa mapipick  https://t.co/alXBbPq62w,Positive
@Edwin18048468 I want i wanttttt for online class,Neutral
@jackrobert_11 Hahahaha. Online class pa more tayo Kuya,Neutral
@celinabcastro Hahaha baka kasi graduate din siya ng online class. Char. Hahaha,Neutral
@jiims yaaahhhhh hoping po huhu pang online class 🧡,Neutral
So it’s my last online class 🤡,Neutral
The reason why hindi pa ako handa mag aral. Hindi para sa akin ang online class set up,Negative
write an essay on difference between “online class and in campus class”  https://t.co/XtRQqZU5gd,Neutral
"@taekook_gives I'm wearing white shirt , required Kasi sa online class 😅😂",Neutral
This is high time to take international student back to their respective universities as Online class is not effective.   #takeUsBackToChina @MFA_China,Negative
@anithhhhh__ Dia sajes join online class utk help with depression...,Negative
Miss ko na talaga online class at mga kaibigan ko. 😭  https://t.co/2flL9mLggI,Neutral
Hindi para mag space ako at akoy may online class pa🤣🥴,Neutral
"@sueannajoe_ yeah it can also exacerbate depression, like signing up for an online class only to be unable to attend because you feel bad, and therefore your depression brain has +1 leverage against you to make you feel worse... it's not a one size fits all, definitely :(",Negative
"Ang active ko lately sa online class mameeee,, namomotivate mo'kooo 🥺🥺",Positive
POTAENA ONLINE CLASS PARIN YAWA PATAYIN NIYO NALANG AKO,Negative
pagnakakakita ako ng vergara sa listahan ng mga kaklase ko sa online class sobrang naeexcite ako ganon na ba ako kafan ng bini?,Neutral
"Me : alright mate, time to join an online class Also me : *struggling to jugle between 12 hours of work &amp; life* Need to join this class so my depression can be cure😩",Negative
In this tough situation online class are so Important. The govt is providing online classes but In my area we couldn't get Internet speed due to your worst connection. I am using jio. The tower is 700meter away from my home but  only one network bar visible.@reliancejio @JioCare,Negative
"bigyan nyo na ako ng wins, pambili lang ng tablet para sa online class",Neutral
puta ‘di ko na kakayanin isang taon pa na online class.,Negative
"Sir: kumusta kayo class? Anong lagay niyo ngayon?  Kami: kru kru kru   Sorry sir mga wala po sa mood, para po kasing kabute itong online class natin, pasulpot sulpot.",Negative
Nakakatamad mag 2nd year college ng online class padin🤦,Negative
"Mukhang hopeless case na, start nko ng online class walley pa rin... Umuulan pa, haizzt",Negative
Sat thru Isaac’s online class and I have massive respect for his teacher. So patient with the kids silly questions and playfulness.,Positive
"@Syamilaaa_ I'm sorry to hear your experience &amp; I fully empathise. If it's any consolation, not all lecturers are like that. In my online class I don't take down attendance and I always record my lectures so the students can go through them asynchronously at their convenience.",Neutral
Student bodies urges FEGOCTA to withdraw decision to boycott online class  https://t.co/lnVOwbmzxg,Neutral
I'll join after online class,Positive
Realtalk😁 Ngayon online class wala akong natutunan Pero kahit pala di online wala din ako matutunan HAHAHA realshett😂 #BSIT  #college,Negative
gagraduate ata ako ng online class hahaha boset,Negative
"@TheInnaPopa Thank you Inna! For now, online class sinda. Enroll ka na!",Positive
online class start from 8:00 a.m !,Neutral
"Dito ako nagaaral, minsan dito rin ako pumapasok for online class. 6 months din yun",Positive
@himantabiswa Mobile network📡 problem and students staying in my village are facing problem. Online class they can't attend properly. Work at home people can't do. Please take some steps we all will be thankful to you,Negative
@CompBrosCrypto I’ll use it to buy laptop for my online class :(,Negative
"@himantabiswa Sir, mobile network📡 is main issue alone with electric cut down. Online class student can't attend online class properly due to network problem. Please do help and see the matter soon.",Negative
Online class is becoming we need to teach and finish the syllabus on a daily basis.  I prefer teach 1 hour the next class is exercise and discussions offline.,Negative
Mas masakit online class kun si adele napamatian mo HAHAHAHA,Neutral
Ang aga ng online class hahahahahahaha,Neutral
"Online class literally not drains our energy in term of physical but it is mentally. We obviously hv better physically during online class, but lack of support, connection with others, and maybe much of empty gap in our schedule or too much work 😭",Neutral
no uh in online class for my course huhuhu psting ywa 7am,Negative
"What if, naay pa open forum sa online class para  https://t.co/hHD90IWuEK ang mga struggles sa mga estudyante pero way matrigger ha kay open forum mn HAHAHAHAHA",Neutral
@lyy_exol full storage na po phone ko dahil sa dami ng ppt at documents from online class and di ko kasi kaya mag uninstall ng app lalo na need sa votings ng exo 🤧 kaya kahit etong memory card lang po para may space po ako for my online class documents. tysm po for this GA ateeeee 💙  https://t.co/xsptncNf7d,Neutral
"one thing, i'll never prioritize studies again over my own home. dapat uuwi ako ng feb 2020, then march kaso on-going yung online class. then, hindi na talaga ako nakauwi kasi mas pinili kong mag-aral w/o thinking na mahirap mag-isa in the middle of the pandemic.",Neutral
Ok so..... My university is open (online class) at 7/5 and the Event that I wait is coming at 7/6....  Oh.............. _(:3 」∠)_,Neutral
Ang cute ko dito or babebe ako HAHAHAHAH miss you all and good morning and anong oras na is 1:46 na HAHAHAHAHHAHA 3:am na kaya charot lang joke lang HAHAHAHA Hinde ayoko mag 3:00am challenge HAHAHAHHA🤣🤣 and bese ako sa online class and may gumagawa sa bahay na min 🤣Hi sayo kuy  https://t.co/EekgwKnnXH,Neutral
treasure pag natapos na tong paking online class na to talaga inyong inyo ako pramis mamatay man lahat ng ipis dito samin,Neutral
Anyway ang laki pala ng difference ng modular sa online class. Wala akong natutunan habang nagsasagot kasi hindi ganun ka broad yung pagkakaexplain unlike sa mga book talaga namin. Wala rin nagtuturo so disadvantage sya sa mga student na hindi sanay mag self-study.,Neutral
"Nakaka miss rin pala Yung online class, yung pag gising mo daming mag cha chat.   GC nga lang!",Neutral
"Like bro, ang dami niyong inattendan na seminar tas messenger ang online class tf is u doing",Negative
The centre told me that I would have another tutoring online class if there's no change. I hope I will have even though teaching offline is much better.  It looks like the physical versions of Butter delivery will be postponed due to some errors. I feel so sorry for US-ARMY. (+),Negative
"Many things have happened these days. I may get back to teaching an old class that is delayed by the pandemic. My Chiimi seems sick, but I don't have enough money to take her to the vet, and it seems they closed it following social distancing. The IELTS online class finished. (+)",Neutral
@_RENEJAY akin na yung luma pang online class HAHAHA,Neutral
Teams is now integrated on Windows 11!   Yep it reminds me of online class 🤣   #MicrosoftEvent,Neutral
Sarap lang kutusan ng pinsan ko na medyo demanding dahil ayaw mag pa bakuna ng sinovac. Eh hindi naman sya lumalabas ng bahay para magpa work dahil online class pa din sila.,Neutral
"I am excited to handle Histology, Anatomy and Physiology with Pathophysiology, Immunology and Serology, Clinical Chemistry 1 and Biochemistry this coming school year. Lahat ng favorite subjects ko nasa isang semester! Ito nalang ang nagpapainspire sakin sa online class set up.",Positive
Sa July ko na talaga balak ayusin buhay ko bago mag online class 😂,Positive
@citrusssoda Hello! I don't have a laptop currently and I just use my phone for online class. I'm saving but it seems like I still cany afford it bc I have to help my parents to pay bills. This would really help me a lot. Thank you!,Neutral
@lyy_exol I know pricey din 'to but binenta ko kasi last year yung guitar ko for my online class and nagiipon din ako pambili ng uke. Pero diko alam ano uunahin. Kung eribong o uke 😂😭  https://t.co/Yn62ZzKyv0,Neutral
@yerimieselurks galawang experienced saan mo na nagamit 'yan? online class?? HAHAHAHAHA,Neutral
"During online class: Mama: *may dalang dalawang palda, inabot sa akin yung isa* : Saan mo 'to binili? D'yan sa may school? Mama: Hindi, ah. D'yan sa tapat ng mga school supplies. : Magkano naman? Mama: PHP 10.00. : Sampo lang?!",Neutral
We need to understand that acceptance of the new norms especially online class is different for each student.   The situation that we face at home is also a factor on how we want to divide our time between studying and other responsibilities.  (Part 1)  https://t.co/aOs2URNoho,Neutral
Na iinspired nako. Itabi niyo muna yang online class d ako na tutu mag work munako .,Negative
ang malas ng term ko haha k12 na nga gagraduate pa ng online class.,Negative
@ReySantoscrypto Use it for my online class. To buy new gadgets to use in my onlineclass,Neutral
Online class is just not for me.,Negative
"@ReySantoscrypto Honestly, I'd buy a laptop for my kid's online class since there won't be any face to face classes till next year. Her eyes hurt already with using a broken cellphone to get to her modules.",Negative
I’m thinking of withdrawing from my masteral. I realized that online class is not for me. Ang hirap na super babad sa laptop. Always nalang magsakit ulo ko.,Negative
"Oh come on 🥲 ww just had to go live on vlive at 1pm (my online class time) and at this point, i don't even blame him, i blame my class🥲  like why the freak THAT class had to take place at 1pm on freaking thursday????",Negative
@pledis_17 Literally left my online class for this and I ain’t complaining 🥴  https://t.co/BK8pV47KUo,Negative
@cadjbury Pinaliit na nga rin ata ng online class yung pwet ko sadge HAHAHA,Neutral
@HEXBangwool I need to download so many apps because the online class😭😭,Neutral
TEKA NASA ONLINE CLASS YATA AKO,Neutral
@seoulwinterph Want ko po for my online class next school year💜 thank you po,Neutral
may online class ulet bukas,Neutral
Ano ba magandang pang online class ipad o laptop?🤔,Neutral
Price negotiable if can pay agad. 🙏 Urgently needed na kasi eh kasi wala na syang phone na magamit for her online class.,Neutral
hays bat naman 170 na yung tuition 🥸 online class pa,Negative
"Hello~ just helping a friend of mine for this. She needs fund so she could fix her phone bec she badly needs it for her online class. So if you could, please kindly adopt this VICTON 1ST CON DVD.   PLEASE HELP RT 🙏",Neutral
CAN'T WAIT TO FINISH THIS ONLINE CLASS!!!! im hella stressed sksksksksks,Negative
"Kami ,everytime na may online class😂",Neutral
"@JeonJK_Bambi Yes po sobra, lalo na ngayong paubos na ipon ko dahil sa kakaload for my online class. Kung dati po kase iisipin lang pamasahe papuntang school ngayon pangload na. Sobrang nakakadrain din lalo na pag tambak mga requirements na need ipass",Negative
"Ngayon lang ako magpapasalamat sa Online Class, grabe biglang dating ng mga responsibilidad sa akin, halos hindi ko na maharap mag online 🥺",Positive
"Mag stastart na naman online class koooo :&lt;&lt; I'm doomed, expenses will kill me again",Negative
Whole body na po ba pag on cam sa online class?? Bakit po kahit pambaba kahit tsinelas kasali???,Neutral
"Madalas akong inactive dito busy lang sa school and work. Don't worry kaps, tahimik pero bumubuto ako everyday lagi din kasi ako nakaharap sa computer dahil sa online class. Siguro ganun din yung iba silently voting lang😊@SB19Official #SB19",Neutral
"A long day at work, did some part time job. Will take a bath then do some online class. Yeah!   I work to provide and take classes to improve.",Positive
pag online class padin try ko ulit mag apply HAHAHAHA,Neutral
"One year of online class was tolerable, at the very least. Two years are just pathetic.",Negative
"Sana na experience ko ang online class para maka hingi ako char hahahah sayang lang! Pero i heard ang hirap nang online class, laban mga students! You'll get there  KISSES RAINorSHINE #KissesDelavin @KissesDelavin",Positive
@BTS_twt Omgggg bless my eyes after tired having online class,Neutral
@lightsong96 Focus on your online class boi!..lol,Neutral
@jiims @Bandit_promos I really need this po  for my upcoming online class :((  hoping to win poooo!!!  @jklmnopq_rst  https://t.co/ZduvUUQ37j,Neutral
meanwhile i’m over here knowing i only spoke to ONE of my classmates sepanjang online class started🥲👍🏻,Neutral
"Idk for others, tapi wearing headphone during presentation or even online class is so not proper",Negative
"I told my sis that giving my niece an iPad Pro for kindergarten online class is a bit too much, but here we are.  https://t.co/HRxw7sixJN",Neutral
upo all day. *online class pa more*,Neutral
umay sa online class pag 3 absents fda agad amp,Negative
Excited na kong mag-ayos ng kwarto para organized kapag nag Online Class tsaka aayusin ko ang arrangement ng mga gamit na kakailanganin ko.,Positive
Lilinisin ko ang cellphone ko at napakadami ng laman bago man lamang ulit malagyan ng app na kailangan sa Online Class.,Positive
ONLINE CLASS NANAMAAAAN TANGINANAGQYWGWGWGTWAAAAAAAAAAAAAAAAAAAA,Negative
"bawal magkasakit sa online class, mapag iiwanan ka agad...",Neutral
@Converge_CSU juskoo Converge wala kaming INTERNET CONNECTION juskoo yun online class ko   Bakit Ngayon pa,Negative
ayaw ko na mag online class HAHAHAHA X2,Negative
Sa loob ng 1 lingo 3 times walang connection ng over 10 hours ang #SKYFIBER! Wala na namang connection ngayon! Taenang perwisyo kyo sa mga nag-WFH at online class @SKYserves !!!  #SKYFIBERBASURA #BASURA,Negative
"Lokohan ba itong Online Class? Para lang tayong nanonood ng Dora The Explorer. Magtatanong yung teacher tapos ilang segundo lang yung lilipas, siya din sasagot sa tanong nya. 🤷🏻‍♀️",Negative
"online class, homework and stress 🥱",Negative
off is me during online class when I’m caught eating 🤣🤣🤣 @off_tumcial  https://t.co/wgTEuygxrT,Neutral
Putangina istg pag mapapahiya nanaman ako sa online class mamaya,Negative
"Teacher mama ko syempre kampihan niya yung teacher ko na saka lang mag papa online class pag sinipag, tapos pag hindi naka attend kailangan kausapin parents.",Negative
i have to be focused during online class but i can't.,Negative
how to survive online class  1. have a discord server with your study buddies,Neutral
nakakapotangina mag online class pota,Negative
"An online class for introvert be like: Finally, I can be a better version of myself *yuck* Also introvert: Submit  my assignment at the last minute, and Moodle is keep crushing many times x)",Negative
Kaya pa ba natin ng another year na puro online class lang?,Negative
"i heard my mum telling her students via online class : ‘ Im staying up late night doing teaching slides for you, can’t you do that 2 page homework for me. You really disappoint me 😩🥺’",Negative
I am literaly having online class today and now here I am,Neutral
Kantoi scroll twitter time online class,Neutral
@Converge_CSU  paki auos nasa kaligitnaan ako ng online class taps walang Signal,Negative
Hmmm. Islanders Game 7 at the same time as Saturday morning online class. Maybe my kids need to be introduced to playoff hockey. Or can I claim sharks chewed on my CAT5 cable??,Neutral
Brb may online class pa ako  OnlineU WithASHGELLO,Neutral
